symbol,entry_trade_date,exit_trade_date,entry_price,exit_price,shares,entry_value,exit_net_value,realized_pnl,return_pct,holding_days,exit_reason,signal_close_adj,signal_sar,signal_rsi,signal_volume_ratio,signal_strength
002352.SZ,20230727,20230822,45.44247957892223,42.01493681047521,700,31819.278625957137,29372.222174835115,-2447.056451122022,-0.0769048374693759,26.0,sar_break,41.736833028204515,47.55101223168564,15.915119363395192,1.2422608616710542,0.0
000002.SZ,20230727,20230823,14.017139791969356,13.356685110949678,1200,16825.613920688338,16007.185704366531,-818.4282163218068,-0.0486418041076937,27.0,sar_break,13.334832915070663,15.008820499273543,29.527559055118147,0.4875962752358998,0.0
601888.SH,20230727,20230823,113.24328992321628,108.013906673281,200,22655.452582038648,21574.697718921147,-1080.7548631175014,-0.0477039626202095,27.0,sar_break,108.2018893969459,124.62974721766888,32.005845816587524,1.053771956837246,0.0
002714.SZ,20230727,20230823,40.96014751813053,38.03436572925061,700,28680.70489367018,26589.444737661808,-2091.2601560083713,-0.0729152286794008,27.0,sar_break,38.053392425463336,42.2498992747784,25.042301184433086,0.8138049365780854,0.0
300124.SZ,20230824,20230825,65.87143667491615,64.23856354509282,700,46123.83867414304,44908.537388738936,-1215.3012854041008,-0.0263486587486786,1.0,sar_break,65.23702729154299,74.68338039693872,29.485179407176375,0.9439768686010663,0.0
002415.SZ,20230727,20230828,32.032935512963164,32.864033364542884,600,19225.527236170234,19692.786072701387,467.25883653115307,0.0243040843973354,32.0,sar_break,31.237857877611003,35.339703999160285,28.459530026109647,1.0613130762931375,0.0
300750.SZ,20230824,20230918,217.37411153485465,195.44875169323743,200,43487.864753663016,39038.93366320725,-4448.931090455764,-0.1023028174792377,25.0,sar_break,197.21721371261853,238.57625299572783,22.42967992240537,2.0769976449227685,0.0
600048.SH,20230727,20230919,12.737599385576376,12.287043259322356,1400,17837.98893154887,17179.498144319332,-658.4907872295371,-0.0369150799317353,54.0,sar_break,12.23726935453341,13.877604012871474,27.090301003344464,1.039857198953486,0.0
600050.SH,20230727,20230927,4.728551113343833,4.529695133872809,6400,30271.80594353815,28952.361793272157,-1319.4441502659938,-0.0435865687275801,62.0,sar_break,4.5412100146635535,5.1886330310107,27.118644067796737,1.4454393188240655,0.0
601668.SH,20230824,20230927,5.3349845420088435,5.020950050536956,11000,58702.435411085906,55158.65097018384,-3543.784440902069,-0.0603686101962445,34.0,sar_break,5.0052937460518,5.677511054958939,35.13513513513506,1.2814156868434585,0.0
