trade_date,cash,positions_count,portfolio_value,turnover,benchmark_value,equal_weight_value
20220622,33181.01168975044,30,845292.3975804073,0.0,1231058.28882712,1868366.6694113752
20220623,33181.01168975044,30,857451.18602503,0.0,1252175.0377666473,1896045.0959345258
20220624,58104.92461275975,29,864355.9334140985,0.028872777083251658,1266845.9022200266,1919605.5460511623
20220627,58104.92461275975,29,877730.2752149785,0.0,1281112.4503764154,1947202.9902991971
20220628,58104.92461275975,29,886547.5082017959,0.0,1294445.3467045396,1963708.9298113335
20220629,58104.92461275975,29,878388.9163078329,0.0,1274509.2613107238,1940134.949178376
20220630,58104.92461275975,29,902974.0636757993,0.0,1292858.233722954,1981318.970627658
20220701,58104.92461275975,29,902813.8761876903,0.0,1287585.0855772079,1977854.7102009745
20220704,42502.039510700466,35,910663.5172155958,0.33214740533095616,1296034.7369560143,1999041.5130685412
20220705,42502.039510700466,35,908965.3162114588,0.0,1294163.3399789257,2000642.1305587976
20220706,42502.039510700466,35,892153.162727394,0.0,1275262.4322937394,1963751.465908424
20220707,42502.039510700466,35,892210.2161251855,0.0,1280884.636908918,1968360.6258221676
20220708,42502.039510700466,35,892129.5642250485,0.0,1276649.3184823052,1967200.6026405832
20220711,69409.62024123452,33,870165.0478562496,0.03096263885209393,1255270.568200745,1927393.351502135
20220712,79753.20867769282,32,864461.7879140468,0.011980925877401993,1243452.3157845763,1915308.385516986
20220713,79753.20867769282,32,867803.1011366908,0.0,1245713.241217478,1917323.7656888892
20220714,79753.20867769282,32,866960.816507821,0.0,1245889.8016993736,1916555.4625784676
20220715,118840.84002422665,30,852447.7245855896,0.045913092712395326,1224689.0243835645,1886477.9458978593
20220718,207654.81515060551,29,856060.4284463819,0.10388236698013589,1237389.416206586,1903604.7636555294
20220719,207654.81515060551,29,851609.256479871,0.0,1230688.5639714804,1891696.9945341886
20220720,207654.81515060551,29,852687.6033344191,0.0,1234857.5821355036,1892075.180544991
20220721,228847.44564914575,28,842168.245377738,0.025197122898924788,1221094.5412341799,1862426.7592688561
20220722,296537.6942896627,26,843543.3753318754,0.08034958544071648,1221721.885849281,1866855.344374669
20220725,328999.3721113468,24,842344.0518295476,0.038587478434615075,1214345.2609811828,1863700.7593052657
20220726,377268.02701891324,22,844145.9556498068,0.05725489237456898,1223953.5238618392,1879755.355885239
20220727,439900.89188903663,19,840465.8889380422,0.0746186066647173,1217917.2885198905,1865219.8042681979
20220728,466266.0428545377,17,839966.497803377,0.031429194314176866,1218101.0843782688,1858347.95447879
